City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kargasok,RU,2021-09-22 22:28:08,59.0556,80.8572,32.83,89,100,5.55
1,Poum,NC,2021-09-22 22:28:08,-20.2333,164.0167,71.2,65,57,21.18
2,Neuquen,AR,2021-09-22 22:28:09,-38.9516,-68.0591,67.89,30,0,13.8
3,Cidreira,BR,2021-09-22 22:28:09,-30.1811,-50.2056,62.02,71,10,15.43
4,Albany,US,2021-09-22 22:26:18,42.6001,-73.9662,76.64,78,88,11.1
5,Ushuaia,AR,2021-09-22 22:28:09,-54.8,-68.3,44.22,87,75,28.77
6,Yellowknife,CA,2021-09-22 22:28:10,62.456,-114.3525,50.52,81,90,8.05
7,Novo Aripuana,BR,2021-09-22 22:28:10,-5.1206,-60.3797,79.27,72,99,3.06
8,Tsurib,RU,2021-09-22 22:28:10,42.2368,46.8307,51.28,98,85,3.11
9,Hermanus,ZA,2021-09-22 22:28:11,-34.4187,19.2345,67.89,66,47,11.65
10,Tasiilaq,GL,2021-09-22 22:28:11,65.6145,-37.6368,33.96,70,3,4.05
11,Dikson,RU,2021-09-22 22:28:11,73.5069,80.5464,35.8,98,100,8.52
12,Kushmurun,KZ,2021-09-22 22:28:12,52.4503,64.6311,41.4,76,16,8.5
13,Punta Arenas,CL,2021-09-22 22:28:12,-53.15,-70.9167,44.71,70,40,11.5
14,Cape Town,ZA,2021-09-22 22:28:13,-33.9258,18.4232,68.11,82,0,5.75
15,Marrakesh,MA,2021-09-22 22:23:41,31.6315,-8.0083,73.47,64,0,4.61
16,Salalah,OM,2021-09-22 22:28:13,17.0151,54.0924,80.69,89,0,2.3
17,Bluff,NZ,2021-09-22 22:28:14,-46.6,168.3333,53.8,65,17,8.81
18,Russell,US,2021-09-22 22:28:14,32.3502,-85.1999,75.11,65,20,14.97
19,Rikitea,PF,2021-09-22 22:28:14,-23.1203,-134.9692,73.47,75,38,19.53
20,Puerto Ayora,EC,2021-09-22 22:28:15,-0.7393,-90.3518,76.96,84,75,10.56
21,Mataura,NZ,2021-09-22 22:28:15,-46.1927,168.8643,53.47,48,5,3.53
22,Nikolskoye,RU,2021-09-22 22:28:15,59.7035,30.7861,46.29,72,100,3.11
23,Emerald,AU,2021-09-22 22:28:16,-23.5333,148.1667,62.74,20,0,11.5
24,Vardo,NO,2021-09-22 22:28:16,70.3705,31.1107,46.6,75,100,30.04
25,Busselton,AU,2021-09-22 22:28:16,-33.65,115.3333,52.09,92,0,9.53
26,The Valley,AI,2021-09-22 22:28:17,18.217,-63.0578,84.34,70,20,8.05
27,Oussouye,SN,2021-09-22 22:28:17,12.485,-16.5469,84.29,88,94,5.1
28,Qaanaaq,GL,2021-09-22 22:28:17,77.484,-69.3632,11.25,62,10,7.27
29,Vestmannaeyjar,IS,2021-09-22 22:28:18,63.4427,-20.2734,42.66,64,13,14.41
30,Allingabro,DK,2021-09-22 22:28:18,56.465,10.3341,59.27,89,92,7.0
31,Solnechnyy,RU,2021-09-22 22:28:18,50.7214,136.6319,41.34,73,4,5.93
32,Khatanga,RU,2021-09-22 22:28:19,71.9667,102.5,33.94,99,100,7.81
33,Mahebourg,MU,2021-09-22 22:28:19,-20.4081,57.7,70.25,78,40,11.5
34,Maniitsoq,GL,2021-09-22 22:28:19,65.4167,-52.9,33.82,48,44,10.04
35,Acarau,BR,2021-09-22 22:28:20,-2.8856,-40.12,79.45,80,90,16.15
36,Cayenne,GF,2021-09-22 22:27:05,4.9333,-52.3333,84.09,80,0,5.01
37,Arlit,NE,2021-09-22 22:28:20,18.7369,7.3853,94.59,11,26,8.46
38,Ancud,CL,2021-09-22 22:28:20,-41.8697,-73.8203,53.42,85,99,14.38
39,Bethel,US,2021-09-22 22:28:21,41.3712,-73.414,76.05,85,75,1.01
40,Chokurdakh,RU,2021-09-22 22:28:21,70.6333,147.9167,29.59,74,91,1.07
41,Lagoa,PT,2021-09-22 22:28:21,39.05,-27.9833,70.25,75,0,13.78
42,South Patrick Shores,US,2021-09-22 22:28:22,28.2022,-80.6095,86.27,77,1,11.5
43,Mutare,ZW,2021-09-22 22:28:22,-18.9707,32.6709,56.84,91,52,4.56
44,Manitouwadge,CA,2021-09-22 22:28:23,49.1215,-85.8403,54.32,49,34,3.58
45,San Patricio,US,2021-09-22 22:28:23,28.017,-97.5169,89.69,21,26,12.77
46,Miri,MY,2021-09-22 22:28:23,4.4148,114.0089,78.94,94,40,0.0
47,Saint George,US,2021-09-22 22:24:35,37.1041,-113.5841,94.42,13,1,7.0
48,Hobart,AU,2021-09-22 22:28:24,-42.8794,147.3294,61.27,53,75,13.0
49,Fortuna,US,2021-09-22 22:28:24,40.5982,-124.1573,91.18,73,1,1.99
50,George,ZA,2021-09-22 22:28:24,-33.963,22.4617,53.15,94,20,5.75
51,Chuy,UY,2021-09-22 22:28:25,-33.6971,-53.4616,54.05,84,96,7.4
52,Yumbe,UG,2021-09-22 22:28:25,3.4651,31.2469,65.19,94,6,4.65
53,Kapaa,US,2021-09-22 22:28:25,22.0752,-159.319,84.18,70,40,4.0
54,Kavieng,PG,2021-09-22 22:28:26,-2.5744,150.7967,81.59,77,100,11.88
55,Mar Del Plata,AR,2021-09-22 22:28:26,-38.0023,-57.5575,55.42,88,90,8.05
56,Lufilufi,WS,2021-09-22 22:28:27,-13.8745,-171.5986,91.18,78,88,18.63
57,Vigrestad,NO,2021-09-22 22:28:27,58.5667,5.7,53.28,91,100,8.88
58,Bilibino,RU,2021-09-22 22:28:27,68.0546,166.4372,28.65,91,100,3.02
59,Vila Velha,BR,2021-09-22 22:28:28,-20.3297,-40.2925,69.75,68,90,16.11
60,Grand-Lahou,CI,2021-09-22 22:28:28,5.1367,-5.0242,76.6,92,94,6.91
61,Novikovo,RU,2021-09-22 22:28:28,51.1537,37.8879,45.95,89,100,4.25
62,Kaitangata,NZ,2021-09-22 22:28:29,-46.2817,169.8464,54.23,50,3,4.32
63,Port Hedland,AU,2021-09-22 22:28:29,-20.3167,118.5667,73.45,13,100,5.75
64,Hilo,US,2021-09-22 22:24:53,19.7297,-155.09,81.81,67,75,5.75
65,Maningrida,AU,2021-09-22 22:28:29,-12.0667,134.2667,68.04,55,20,12.46
66,Shihezi,CN,2021-09-22 22:28:30,44.3,86.0333,54.45,26,1,4.99
67,Maldonado,UY,2021-09-22 22:28:30,-34.6667,-54.9167,55.22,80,100,9.48
68,Pilar,BR,2021-09-22 22:28:30,-9.5972,-35.9567,78.73,89,9,8.43
69,East London,ZA,2021-09-22 22:28:31,-33.0153,27.9116,61.75,77,1,19.37
70,Boca Do Acre,BR,2021-09-22 22:28:31,-8.7522,-67.3978,90.27,41,87,2.48
71,Upernavik,GL,2021-09-22 22:28:31,72.7868,-56.1549,22.68,63,94,5.17
72,Saint-Doulchard,FR,2021-09-22 22:28:32,47.1037,2.352,53.98,72,62,6.62
73,Soyo,AO,2021-09-22 22:28:32,-6.1349,12.3689,74.79,83,92,7.36
74,Chadiza,ZM,2021-09-22 22:28:32,-14.0678,32.4392,65.19,54,0,10.29
75,Pevek,RU,2021-09-22 22:28:33,69.7008,170.3133,28.72,63,100,7.34
76,Kailua,US,2021-09-22 22:24:52,21.4022,-157.7394,85.98,61,75,12.66
77,Sioux Lookout,CA,2021-09-22 22:28:33,50.1001,-91.917,68.38,45,40,10.36
78,Thompson,CA,2021-09-22 22:25:00,55.7435,-97.8558,59.16,88,90,0.0
79,Ojinaga,MX,2021-09-22 22:28:34,29.5667,-104.4167,86.95,19,1,9.22
80,Gao,ML,2021-09-22 22:28:34,16.6362,1.637,93.81,29,74,13.0
81,Atuona,PF,2021-09-22 22:28:34,-9.8,-139.0333,77.88,72,20,19.44
82,Port Alfred,ZA,2021-09-22 22:28:34,-33.5906,26.891,60.66,82,21,21.63
83,Victoria,HK,2021-09-22 22:26:24,22.2855,114.1577,85.32,86,60,13.89
84,Jamestown,US,2021-09-22 22:28:09,42.097,-79.2353,72.99,90,90,5.99
85,Tiksi,RU,2021-09-22 22:28:35,71.6872,128.8694,35.62,82,99,3.27
86,Alzamay,RU,2021-09-22 22:28:35,55.5562,98.6644,35.22,92,98,0.09
87,Penzance,GB,2021-09-22 22:28:36,50.1186,-5.5371,58.77,84,20,6.91
88,Ilulissat,GL,2021-09-22 22:28:36,69.2167,-51.1,28.42,50,75,4.61
89,Abapo,BO,2021-09-22 22:28:37,-18.8333,-63.4667,81.99,32,76,9.89
90,Saint-Georges,GD,2021-09-22 22:28:37,12.0564,-61.7485,83.88,79,20,12.66
91,Ambulu,ID,2021-09-22 22:28:37,-8.345,113.6058,73.47,88,53,3.62
92,Mansa,IN,2021-09-22 22:28:37,29.9833,75.3833,74.98,90,95,6.89
93,Carnarvon,AU,2021-09-22 22:28:38,-24.8667,113.6333,66.27,94,41,5.75
94,Provideniya,RU,2021-09-22 22:28:38,64.3833,-173.3,33.91,60,0,2.24
95,Ostroleka,PL,2021-09-22 22:28:39,53.0862,21.5757,46.89,90,99,5.61
96,Tiznit,MA,2021-09-22 22:28:39,29.5833,-9.5,63.5,81,100,3.44
97,Yar-Sale,RU,2021-09-22 22:28:39,66.8333,70.8333,36.36,92,68,13.67
98,Tuktoyaktuk,CA,2021-09-22 22:28:40,69.4541,-133.0374,35.6,64,75,18.41
99,Port Elizabeth,ZA,2021-09-22 22:28:40,-33.918,25.5701,61.09,88,0,12.66
100,Yining,CN,2021-09-22 22:28:40,29.0361,114.5636,66.63,69,0,1.36
101,Ribeira Grande,PT,2021-09-22 22:28:41,38.5167,-28.7,71.8,77,9,15.59
102,Souillac,MU,2021-09-22 22:28:40,-20.5167,57.5167,70.36,78,40,11.5
103,Komsomolskiy,UZ,2021-09-22 22:28:41,40.4272,71.7189,61.52,48,0,4.61
104,Brus Laguna,HN,2021-09-22 22:28:41,15.75,-84.4833,83.98,70,0,6.62
105,Yavatmal,IN,2021-09-22 22:28:42,20.4,78.1333,73.27,93,100,4.61
106,Boralday,KZ,2021-09-22 22:28:42,43.3578,76.8594,53.46,40,75,4.47
107,Vaini,TO,2021-09-22 22:28:42,-21.2,-175.2,77.16,83,40,10.36
108,Hithadhoo,MV,2021-09-22 22:28:43,-0.6,73.0833,82.24,75,100,19.37
109,Butaritari,KI,2021-09-22 22:28:43,3.0707,172.7902,82.72,67,97,15.19
110,Fairbanks,US,2021-09-22 22:23:49,64.8378,-147.7164,39.09,68,40,1.14
111,Aksu,CN,2021-09-22 22:28:44,41.1231,80.2644,67.64,33,90,4.81
112,Puerto Montt,CL,2021-09-22 22:28:44,-41.4698,-72.9447,56.23,82,75,3.44
113,Homer,US,2021-09-22 22:28:45,59.6425,-151.5483,46.8,45,1,8.05
114,Sainte-Suzanne,RE,2021-09-22 22:28:45,-20.9061,55.6089,68.18,73,90,17.27
115,Gannan,CN,2021-09-22 22:28:45,47.9147,123.5031,47.8,86,3,6.02
116,San Fernando,PH,2021-09-22 22:28:46,15.0286,120.6898,82.42,92,100,2.89
117,Hambantota,LK,2021-09-22 22:28:47,6.1241,81.1185,79.99,83,40,14.67
118,Sangre Grande,TT,2021-09-22 22:28:47,10.5835,-61.1177,85.05,77,3,5.95
119,Dingle,PH,2021-09-22 22:28:47,10.9995,122.6711,75.33,92,91,3.31
120,Saint-Augustin,CA,2021-09-22 22:28:48,51.226,-58.6502,59.47,80,73,15.52
121,Ambilobe,MG,2021-09-22 22:28:48,-13.2,49.05,70.3,75,53,4.61
122,Kruisfontein,ZA,2021-09-22 22:28:49,-34.0033,24.7314,57.47,72,76,5.86
123,Lebu,CL,2021-09-22 22:28:49,-37.6167,-73.65,52.65,69,66,5.12
124,Aranos,NA,2021-09-22 22:28:49,-24.1333,19.1167,67.53,14,8,10.27
125,Urumqi,CN,2021-09-22 22:28:50,43.801,87.6005,50.95,32,0,2.24
126,Izumo,JP,2021-09-22 22:28:50,35.3667,132.7667,71.55,94,75,5.75
127,Lavrentiya,RU,2021-09-22 22:28:50,65.5833,-171.0,32.95,58,22,6.15
128,Goulburn,AU,2021-09-22 22:28:51,-34.75,149.7167,47.16,81,6,14.88
129,Christchurch,NZ,2021-09-22 22:26:54,-43.5333,172.6333,54.91,90,90,3.0
130,Dharchula,IN,2021-09-22 22:28:51,29.85,80.5333,68.23,94,100,2.93
131,Kingman,US,2021-09-22 22:26:22,35.1894,-114.053,95.31,13,1,14.97
132,Bara,NG,2021-09-22 22:28:51,10.3744,10.7288,69.93,95,98,2.37
133,Klaksvik,FO,2021-09-22 22:28:52,62.2266,-6.589,49.12,83,98,26.31
134,Adrar,MR,2021-09-22 22:28:52,20.5022,-10.0711,92.82,15,0,15.75
135,Berlevag,NO,2021-09-22 22:28:52,70.8578,29.0864,46.02,81,100,30.6
136,Bambous Virieux,MU,2021-09-22 22:28:53,-20.3428,57.7575,70.21,78,40,11.5
137,Metro,ID,2021-09-22 22:28:53,-5.1131,105.3067,74.25,91,76,3.06
138,Chapais,CA,2021-09-22 22:28:53,49.7834,-74.8492,44.38,82,100,7.58
139,Clarence Town,AU,2021-09-22 22:28:54,-32.5833,151.7833,61.14,53,0,5.17
140,Nanortalik,GL,2021-09-22 22:28:54,60.1432,-45.2371,44.04,96,100,11.92
141,Harper,LR,2021-09-22 22:28:54,4.375,-7.7169,77.58,87,63,5.86
142,Auki,SB,2021-09-22 22:28:55,-8.7676,160.7034,82.8,67,86,2.26
143,Benguela,AO,2021-09-22 22:28:55,-12.5763,13.4055,69.96,86,66,3.02
144,New Norfolk,AU,2021-09-22 22:28:55,-42.7826,147.0587,60.93,62,95,7.0
145,Elko,US,2021-09-22 22:28:56,41.0002,-115.5012,80.62,14,26,18.01
146,Piacabucu,BR,2021-09-22 22:28:56,-10.4056,-36.4344,77.4,88,4,13.96
147,Comodoro Rivadavia,AR,2021-09-22 22:28:57,-45.8667,-67.5,66.06,27,0,28.77
148,Pachmarhi,IN,2021-09-22 22:28:57,22.4667,78.4333,66.61,91,11,0.31
149,Ponta Do Sol,PT,2021-09-22 22:28:57,32.6667,-17.1,72.23,66,100,6.13
150,Akcaabat,TR,2021-09-22 22:28:57,41.0212,39.5715,60.67,82,75,5.75
151,Bakel,SN,2021-09-22 22:28:58,14.905,-12.4568,88.68,56,24,11.79
152,Khani,GE,2021-09-22 22:28:58,41.9563,42.9566,51.37,99,100,2.35
153,Barrow,US,2021-09-22 22:28:59,71.2906,-156.7887,32.02,64,90,16.11
154,Paamiut,GL,2021-09-22 22:28:59,61.994,-49.6678,32.95,95,100,11.3
155,Fukue,JP,2021-09-22 22:28:59,32.6881,128.8419,77.61,82,29,10.83
156,Boueni,YT,2021-09-22 22:29:00,-12.9025,45.0761,76.98,78,0,12.93
157,Te Anau,NZ,2021-09-22 22:29:00,-45.4167,167.7167,50.49,72,14,0.94
158,Cairns,AU,2021-09-22 22:29:00,-16.9167,145.7667,73.11,61,75,16.11
159,Kudahuvadhoo,MV,2021-09-22 22:29:01,2.6708,72.8944,82.47,77,100,12.12
160,Baker City,US,2021-09-22 22:29:01,44.7749,-117.8344,74.16,35,20,10.36
161,Castro,BR,2021-09-22 22:29:01,-24.7911,-50.0119,51.85,82,19,11.32
162,Buala,SB,2021-09-22 22:29:02,-8.145,159.5921,82.54,72,75,3.67
163,Naryan-Mar,RU,2021-09-22 22:29:02,67.6713,53.087,35.71,82,0,7.85
164,Port Keats,AU,2021-09-22 22:29:02,-14.25,129.55,70.34,17,89,11.1
165,Tigre,AR,2021-09-22 22:29:03,-34.426,-58.5796,57.24,91,75,5.75
166,Sao Filipe,CV,2021-09-22 22:29:03,14.8961,-24.4956,79.14,81,22,6.51
167,Kodiak,US,2021-09-22 22:28:58,57.79,-152.4072,45.81,64,100,14.65
168,Westport,US,2021-09-22 22:29:04,41.1415,-73.3579,77.61,88,75,1.99
169,Sarh,TD,2021-09-22 22:29:04,9.1429,18.3923,75.11,94,20,0.0
170,Waw,SS,2021-09-22 22:29:04,7.7029,27.9953,75.0,79,61,1.48
171,Fort Nelson,CA,2021-09-22 22:29:05,58.8053,-122.7002,45.99,53,75,8.05
172,Lorengau,PG,2021-09-22 22:29:05,-2.0226,147.2712,82.04,78,96,7.0
173,Zhaotong,CN,2021-09-22 22:29:05,27.3167,103.7167,57.06,94,11,4.41
174,Kamenka,RU,2021-09-22 22:29:06,51.3223,42.7678,45.54,83,73,5.75
175,Meulaboh,ID,2021-09-22 22:29:06,4.1363,96.1285,75.42,91,98,4.21
176,Deputatskiy,RU,2021-09-22 22:29:06,69.3,139.9,27.55,82,28,2.33
177,Winneba,GH,2021-09-22 22:29:07,5.3511,-0.6231,79.27,88,100,6.51
178,Bengkulu,ID,2021-09-22 22:29:07,-3.8004,102.2655,74.35,93,95,4.88
179,At-Bashi,KG,2021-09-22 22:29:08,41.1702,75.8106,45.61,40,5,0.83
180,Yulara,AU,2021-09-22 22:29:08,-25.2406,130.9889,46.24,39,99,8.05
181,Shubarkuduk,KZ,2021-09-22 22:29:09,49.1447,56.4872,53.19,29,97,9.64
182,Shiyan,CN,2021-09-22 22:29:09,32.6475,110.7781,68.61,89,77,1.34
183,Iqaluit,CA,2021-09-22 22:28:53,63.7506,-68.5145,33.53,80,90,6.91
184,Kaliua,TZ,2021-09-22 22:29:10,-5.0606,31.7936,77.07,33,53,6.87
185,Saskylakh,RU,2021-09-22 22:29:10,71.9167,114.0833,35.47,98,100,4.18
186,Cabo San Lucas,MX,2021-09-22 22:27:06,22.8909,-109.9124,89.19,62,20,9.22
187,Dalby,AU,2021-09-22 22:29:11,-27.1833,151.2667,56.1,43,0,1.7
188,Namatanai,PG,2021-09-22 22:29:11,-3.6667,152.4333,80.56,79,100,6.67
189,Najran,SA,2021-09-22 22:29:12,17.4924,44.1277,74.05,16,25,2.44
190,Hansi,IN,2021-09-22 22:29:12,29.1,75.9667,75.07,92,90,5.82
191,Mount Isa,AU,2021-09-22 22:29:13,-20.7333,139.5,64.17,15,0,12.66
192,Kahului,US,2021-09-22 22:28:45,20.8947,-156.47,87.82,43,20,23.02
193,Bardiyah,LY,2021-09-22 22:29:13,31.7561,25.0865,76.78,77,0,13.33
194,Pisco,PE,2021-09-22 22:29:14,-13.7,-76.2167,66.25,68,0,20.71
195,Grindavik,IS,2021-09-22 22:29:14,63.8424,-22.4338,41.47,75,75,8.05
196,Mackay,AU,2021-09-22 22:29:14,-21.15,149.2,71.04,67,40,6.91
197,Leningradskiy,RU,2021-09-22 22:29:15,69.3833,178.4167,24.1,70,95,5.57
198,Bathsheba,BB,2021-09-22 22:29:15,13.2167,-59.5167,83.01,74,20,11.5
199,Husavik,IS,2021-09-22 22:29:16,66.0449,-17.3389,39.11,85,94,8.79
200,Brigantine,US,2021-09-22 22:25:03,39.4101,-74.3646,78.33,87,40,12.66
201,Katsuura,JP,2021-09-22 22:29:16,35.1333,140.3,80.71,84,97,17.96
202,Bereznik,RU,2021-09-22 22:29:16,62.8551,42.7072,36.01,97,4,5.06
203,Ayolas,PY,2021-09-22 22:29:17,-27.4,-56.9,65.79,53,78,5.57
204,Mozhaysk,RU,2021-09-22 22:29:17,55.5019,36.0272,41.49,97,100,4.18
205,Yokadouma,CM,2021-09-22 22:29:17,3.5167,15.05,68.18,99,100,2.08
206,Naze,JP,2021-09-22 22:29:18,28.3667,129.4833,74.32,70,1,7.56
207,Luderitz,NA,2021-09-22 22:29:18,-26.6481,15.1594,61.23,59,0,5.79
208,Morondava,MG,2021-09-22 22:29:18,-20.2833,44.2833,72.36,72,4,8.43
209,Omboue,GA,2021-09-22 22:29:19,-1.5746,9.2618,77.58,84,88,8.28
210,Tatarsk,RU,2021-09-22 22:29:19,55.219,75.9828,33.3,95,84,5.7
211,Mehamn,NO,2021-09-22 22:29:19,71.0357,27.8492,47.5,83,100,23.98
212,Alice Springs,AU,2021-09-22 22:29:20,-23.7,133.8833,47.75,40,2,0.0
213,Coquimbo,CL,2021-09-22 22:29:20,-29.9533,-71.3436,58.73,67,0,10.36
214,Yanam,IN,2021-09-22 22:29:21,16.7333,82.2167,77.0,89,100,3.33
215,Lewiston,US,2021-09-22 22:29:21,44.1003,-70.2148,70.14,94,90,8.05
216,Antalaha,MG,2021-09-22 22:29:21,-14.9003,50.2788,66.72,83,0,6.24
217,Paralimni,CY,2021-09-22 22:29:22,35.0375,33.9833,76.42,81,0,1.01
218,Port Lincoln,AU,2021-09-22 22:29:22,-34.7333,135.8667,50.88,79,1,10.29
219,Jacqueville,CI,2021-09-22 22:29:23,5.2052,-4.4146,76.91,91,100,8.23
220,Palmer,US,2021-09-22 22:29:23,42.1584,-72.3287,74.52,79,75,3.0
221,San Cristobal,VE,2021-09-22 22:29:23,7.7669,-72.225,77.18,65,71,4.68
222,Narsaq,GL,2021-09-22 22:29:24,60.9167,-46.05,37.62,89,100,2.39
223,Sinazongwe,ZM,2021-09-22 22:29:24,-17.2614,27.4618,75.88,48,5,15.17
224,Pudozh,RU,2021-09-22 22:29:24,61.8099,36.5345,35.91,97,12,5.46
225,Tuatapere,NZ,2021-09-22 22:29:25,-46.1333,167.6833,53.82,62,13,3.11
226,Severo-Kurilsk,RU,2021-09-22 22:29:25,50.6789,156.125,48.18,94,100,8.39
227,Hastings,GB,2021-09-22 22:29:25,50.8552,0.5729,57.97,87,34,7.72
228,Ostrovnoy,RU,2021-09-22 22:29:26,68.0531,39.5131,39.81,76,100,23.06
229,Shingu,JP,2021-09-22 22:27:27,33.7333,135.9833,71.91,82,2,6.17
230,Gat,IL,2021-09-22 22:29:26,31.61,34.7642,77.68,100,2,6.64
231,Airai,TL,2021-09-22 22:29:26,-8.9266,125.4092,58.21,48,63,3.4
232,Barra Patuca,HN,2021-09-22 22:29:27,15.8,-84.2833,83.5,72,3,9.26
233,Vao,NC,2021-09-22 22:29:27,-22.6667,167.4833,68.36,67,70,19.22
234,Berberati,CF,2021-09-22 22:29:27,4.2612,15.7922,67.14,99,98,2.71
235,San Jose,US,2021-09-22 22:25:17,37.3394,-121.895,96.28,37,40,14.97
236,Kutum,SD,2021-09-22 22:29:28,14.2,24.6667,80.82,40,50,5.17
237,Bredasdorp,ZA,2021-09-22 22:28:34,-34.5322,20.0403,59.29,93,61,1.14
238,Nelson Bay,AU,2021-09-22 22:29:28,-32.7167,152.15,61.29,71,0,3.0
239,Chabahar,IR,2021-09-22 22:29:28,25.2919,60.643,83.48,83,53,4.54
240,Camacha,PT,2021-09-22 22:29:28,33.0833,-16.3333,68.76,73,40,11.5
241,Norman Wells,CA,2021-09-22 22:29:29,65.282,-126.8329,33.84,93,90,14.97
242,Erdenet,MN,2021-09-22 22:29:29,49.0333,104.0833,35.98,87,65,2.24
243,Eureka,US,2021-09-22 22:27:56,40.8021,-124.1637,69.13,71,98,5.01
244,Maceio,BR,2021-09-22 22:29:30,-9.6658,-35.7353,80.04,89,0,8.05
245,Torbay,CA,2021-09-22 22:28:58,47.6666,-52.7314,65.26,72,75,19.57
246,Vila Franca Do Campo,PT,2021-09-22 22:29:30,37.7167,-25.4333,68.41,78,15,8.46
247,Geraldton,AU,2021-09-22 22:29:30,-28.7667,114.6,46.81,76,0,8.05
248,Petropavlovsk-Kamchatskiy,RU,2021-09-22 22:29:31,53.0452,158.6483,39.79,81,0,6.71
249,Saint Anthony,US,2021-09-22 22:29:31,45.0205,-93.218,71.82,44,1,4.0
250,Hami,CN,2021-09-22 22:29:32,42.8,93.45,63.93,23,51,8.12
251,Lata,PT,2021-09-22 22:29:32,40.1629,-8.3327,64.81,80,100,3.74
252,Touros,BR,2021-09-22 22:29:32,-5.1989,-35.4608,79.7,82,44,9.86
253,Elat,IL,2021-09-22 22:28:29,29.5581,34.9482,82.24,51,0,9.22
254,Namibe,AO,2021-09-22 22:29:33,-15.1961,12.1522,62.96,86,17,2.44
255,Guangyuan,CN,2021-09-22 22:29:33,32.442,105.823,69.84,99,100,3.91
256,Sola,VU,2021-09-22 22:29:33,-13.8833,167.55,75.87,100,90,0.0
257,Cherskiy,RU,2021-09-22 22:29:34,68.75,161.3,32.23,67,100,7.2
258,Alofi,NU,2021-09-22 22:29:34,-19.0595,-169.9187,78.69,69,75,18.41
259,Shahr-E Babak,IR,2021-09-22 22:29:35,30.1165,55.1186,69.8,23,4,6.11
260,Baft,IR,2021-09-22 22:29:35,29.234,56.6057,65.35,40,27,6.11
261,Pinas,EC,2021-09-22 22:29:36,-3.6667,-79.65,79.92,71,88,2.08
262,La Ronge,CA,2021-09-22 22:29:28,55.1001,-105.2842,61.05,51,90,2.3
263,Ekuvukeni,ZA,2021-09-22 22:29:36,-28.4675,30.1551,54.3,66,0,3.67
264,Rawson,AR,2021-09-22 22:29:36,-43.3002,-65.1023,69.26,29,51,14.23
265,Hailar,CN,2021-09-22 22:29:37,49.2,119.7,45.64,81,15,8.52
266,Sinnamary,GF,2021-09-22 22:29:37,5.3833,-52.95,80.74,82,84,10.31
267,Mareeba,AU,2021-09-22 22:29:37,-17.0,145.4333,68.49,67,2,5.53
268,Sao Miguel Do Araguaia,BR,2021-09-22 22:29:38,-13.275,-50.1628,94.14,16,4,1.88
269,Tura,IN,2021-09-22 22:29:38,25.5198,90.2201,72.05,94,74,2.64
270,Arraial Do Cabo,BR,2021-09-22 22:29:38,-22.9661,-42.0278,67.96,68,40,11.5
271,Clyde River,CA,2021-09-22 22:28:31,70.4692,-68.5914,30.43,93,90,12.66
272,Verin,ES,2021-09-22 22:29:39,41.9415,-7.4381,56.23,57,41,5.03
273,Nabire,ID,2021-09-22 22:29:40,-3.3667,135.4833,75.58,91,100,2.51
274,Dalhousie,IN,2021-09-22 22:29:40,32.5333,75.9833,54.07,80,0,6.35
